"Jahr","Saison","Bern_Mitteltemperatur","Bern_Niederschlagssumme","GrStBernhard_Mitteltemperatur","GrStBernhard_Niederschlagssumme"
1998,"Herbst(SON)",8.66666666666667,356.7,-1.43333333333333,734.9
1998,"Sommer(JJA)",18.3333333333333,228.1,7.8,379
1998,"Winter(DJF)",1.43333333333333,113.9,-5.23333333333333,481.5
1999,"Fruehling(MAM)",10.0333333333333,398.8,-2.06666666666667,722.2
1999,"Herbst(SON)",9.53333333333333,287.6,0.366666666666666,532.2
1999,"Sommer(JJA)",17.7333333333333,371.6,6.93333333333333,497.2
1999,"Winter(DJF)",0.833333333333333,259.7,-7.53333333333333,1351.6
2000,"Fruehling(MAM)",10.2333333333333,191.3,-1.63333333333333,605.5
2000,"Herbst(SON)",10.3,246.5,0.266666666666667,1031.4
2000,"Sommer(JJA)",17.7333333333333,390.6,7.06666666666667,475.1
2000,"Winter(DJF)",2.43333333333333,155.3,-6.16666666666667,619
2001,"Fruehling(MAM)",9.9,450.4,-1.83333333333333,866.1
2001,"Herbst(SON)",9.4,277.4,0.266666666666667,433.4
2001,"Sommer(JJA)",18,364.3,7.13333333333333,547.1
2001,"Winter(DJF)",1.53333333333333,185.7,-7.63333333333333,372.3
2002,"Fruehling(MAM)",9.43333333333333,279.4,-2.33333333333333,790.7
2002,"Herbst(SON)",9.26666666666667,434.9,0.0666666666666666,1063.2
2002,"Sommer(JJA)",17.8333333333333,417.6,7.3,611.9
2002,"Winter(DJF)",2.8,184.3,-5.26666666666667,623.7
2003,"Fruehling(MAM)",10,187.4,-1.3,375.3
2003,"Herbst(SON)",8.53333333333333,237.5,0.266666666666667,630.9
2003,"Sommer(JJA)",21.1,222.9,10.5333333333333,271.4
2003,"Winter(DJF)",-0.4,90,-8.66666666666667,667.8
2004,"Fruehling(MAM)",8.33333333333333,189.6,-3.33333333333333,492.3
2004,"Herbst(SON)",9.83333333333333,214.1,1.3,499.8
2004,"Sommer(JJA)",17.3666666666667,373.4,6.93333333333333,404.5
2004,"Winter(DJF)",0.866666666666667,234.4,-6.73333333333333,750
2005,"Fruehling(MAM)",9.03333333333333,252.1,-2.1,607
2005,"Herbst(SON)",9.76666666666667,230.6,0.833333333333333,289.2
2005,"Sommer(JJA)",17.8,243.9,6.96666666666667,468
2005,"Winter(DJF)",-1.3,132.8,-9.46666666666667,689
2006,"Fruehling(MAM)",8.26666666666667,547.7,-2.8,855.9
2006,"Herbst(SON)",11.4,265.9,2.83333333333333,391.7
2006,"Sommer(JJA)",18.2333333333333,268.7,7.16666666666667,403.7
2006,"Winter(DJF)",-0.4,133.3,-7.03333333333333,393.2
2007,"Fruehling(MAM)",10.4666666666667,306.1,-0.633333333333333,512.4
2007,"Herbst(SON)",7.83333333333333,129.5,0.0333333333333334,338
2007,"Sommer(JJA)",17.0333333333333,600.1,6.76666666666667,771.3
2007,"Winter(DJF)",2.56666666666667,254.9,-5.16666666666667,891.6
2008,"Fruehling(MAM)",8.66666666666667,233,-3.06666666666667,715.9
2008,"Herbst(SON)",8.5,261.7,-0.0666666666666666,613.2
2008,"Sommer(JJA)",17.5666666666667,274.8,7.33333333333333,431.7
2008,"Winter(DJF)",1.36666666666667,175.5,-5.46666666666667,558.6
2009,"Fruehling(MAM)",10,187.2,-1.6,591.9
2009,"Herbst(SON)",10.3666666666667,230.8,1.5,376.9
2009,"Sommer(JJA)",18.2333333333333,315.4,8,237.9
2009,"Winter(DJF)",-0.866666666666667,225.8,-8.83333333333333,604.7
2010,"Fruehling(MAM)",8.53333333333333,199.1,-3.13333333333333,620.5
2010,"Herbst(SON)",8.9,166.4,-0.533333333333333,628.6
2010,"Sommer(JJA)",18.1,361.1,7.16666666666667,429
2010,"Winter(DJF)",-1.13333333333333,188.5,-9.8,646.7
2011,"Fruehling(MAM)",11,109.1,-0.233333333333333,438.1
2011,"Herbst(SON)",9.8,157.1,2.66666666666667,526.7
2011,"Sommer(JJA)",17.6333333333333,306.4,6.9,484.8
2011,"Winter(DJF)",2.06666666666667,216.8,-6.3,794.2
2012,"Fruehling(MAM)",9.6,206.7,-1.4,500.8
2012,"Herbst(SON)",9.4,348.3,1.4,496.4
2012,"Sommer(JJA)",18.1666666666667,321.3,8.5,469.1
2012,"Winter(DJF)",-0.4,251.4,-8.36666666666667,988.3
2013,"Fruehling(MAM)",7.13333333333333,311.4,-3.53333333333333,632.5
2013,"Herbst(SON)",9.96666666666667,371.1,0.9,448.3
2013,"Sommer(JJA)",18.2666666666667,257.4,7.3,371.8
2013,"Winter(DJF)",-0.633333333333333,173.1,-7.73333333333333,402.9
2014,"Fruehling(MAM)",9.46666666666667,255.8,-1.56666666666667,548.1
2014,"Herbst(SON)",11,194.3,2.43333333333333,684.7
2014,"Sommer(JJA)",17.1,400.2,6.43333333333333,411.2
2014,"Winter(DJF)",2.46666666666667,183.5,-6.43333333333333,541.2
2015,"Fruehling(MAM)",9.66666666666667,285.4,-1.1,669.2
2015,"Herbst(SON)",9.26666666666667,168.9,1,519.5
2015,"Sommer(JJA)",19.8333333333333,193.4,9.26666666666667,435.1
2015,"Winter(DJF)",1,120.1,-5.3,481.7
2016,"Fruehling(MAM)",8.4,311.5,-3.06666666666667,645.3
2016,"Herbst(SON)",9.4,224.6,0.9,559
2016,"Sommer(JJA)",18.2,308.1,7.9,273.3
2016,"Winter(DJF)",1.66666666666667,211.8,-5,732.6
2017,"Fruehling(MAM)",10.1333333333333,199.6,-0.733333333333333,688.4
2017,"Herbst(SON)",8.93333333333333,157.9,0.633333333333333,290.5
2017,"Sommer(JJA)",19.3,251.9,9.2,330.2
2017,"Winter(DJF)",0.2,244.7,-7.33333333333333,692.5
2018,"Fruehling(MAM)",9.96666666666667,247.2,-1.7,504.9
2018,"Herbst(SON)",10.4,103.3,2.1,595.7
2018,"Sommer(JJA)",19.5333333333333,253.2,8.8,262.6
2018,"Winter(DJF)",2.06666666666667,303.4,-6.96666666666667,1246.5
2019,"Fruehling(MAM)",8.46666666666667,249.5,-3.03333333333333,793.6
2019,"Herbst(SON)",10.2333333333333,311.1,1.3,680.8
2019,"Sommer(JJA)",19.5,279,9.53333333333333,374.4
2019,"Winter(DJF)",1.9,159.7,-5.86666666666667,734
2020,"Fruehling(MAM)",10.1,177.5,-0.433333333333333,388.4
2020,"Herbst(SON)",9.86666666666667,244.9,1.53333333333333,300.2
2020,"Sommer(JJA)",18.3333333333333,374.3,7.83333333333333,255.5
2020,"Winter(DJF)",2.96666666666667,240.5,-5.13333333333333,336.8
2021,"Fruehling(MAM)",7.76666666666667,246.5,-3.66666666666667,465.3
2021,"Herbst(SON)",9.3,96.5,1.23333333333333,294.5
2021,"Sommer(JJA)",18.0333333333333,540.7,7.7,349.7
2021,"Winter(DJF)",1.83333333333333,252.9,-5.8,383.2
2022,"Fruehling(MAM)",10.1333333333333,133.8,-0.7,295
2022,"Herbst(SON)",11.3,338.3,2.33333333333333,362.6
2022,"Sommer(JJA)",20,238.3,10.2666666666667,256.8
2022,"Winter(DJF)",2.23333333333333,184.7,-4.96666666666667,270
2023,"Fruehling(MAM)",9.53333333333333,272.5,-1.66666666666667,388.4
2023,"Herbst(SON)",11.9666666666667,371.2,2.96666666666667,553.3
2023,"Sommer(JJA)",20,203.1,9.2,288.4
2023,"Winter(DJF)",2.7,233.1,-5.33333333333333,228.7
