"Jahr","Saison","Bern_Mitteltemperatur","Bern_Niederschlagssumme","GrStBernhard_Mitteltemperatur","GrStBernhard_Niederschlagssumme"
1920,"Herbst(SON)",7.86666666666667,136.8,-0.1,461.9
1920,"Sommer(JJA)",16.0333333333333,273.9,5.46666666666667,341.3
1920,"Winter(DJF)",1.46666666666667,137.4,-6.16666666666667,497.6
1921,"Fruehling(MAM)",8.5,241.3,-2.83333333333333,392.5
1921,"Herbst(SON)",8.6,166.6,1.8,189.7
1921,"Sommer(JJA)",17.7333333333333,259.8,6.8,406.8
1921,"Winter(DJF)",1.26666666666667,57.7,-6.66666666666667,216.1
1922,"Fruehling(MAM)",8.46666666666667,319.4,-2.8,753.8
1922,"Herbst(SON)",6.4,278.6,-1.76666666666667,545
1922,"Sommer(JJA)",16.1666666666667,444.8,6,491.1
1922,"Winter(DJF)",-0.433333333333333,267.1,-8.16666666666667,686.4
1923,"Fruehling(MAM)",8.23333333333333,242.8,-3.13333333333333,488.8
1923,"Herbst(SON)",8.83333333333333,444,0,583.5
1923,"Sommer(JJA)",16.8,203.8,6.5,290.4
1923,"Winter(DJF)",0.566666666666667,250.2,-8.63333333333333,661.3
1924,"Fruehling(MAM)",8.33333333333333,311.6,-2.33333333333333,504.3
1924,"Herbst(SON)",8.5,180.1,0.333333333333333,427.3
1924,"Sommer(JJA)",15.5666666666667,315.5,5.23333333333333,522.6
1924,"Winter(DJF)",-1.8,78.4,-8.3,290.1
1925,"Fruehling(MAM)",7.16666666666667,281.3,-4.26666666666667,648.4
1925,"Herbst(SON)",7.36666666666667,216.4,-1.36666666666667,391.1
1925,"Sommer(JJA)",16.4666666666667,283,5.83333333333333,434.9
1925,"Winter(DJF)",1.03333333333333,232.1,-7.56666666666667,457.2
1926,"Fruehling(MAM)",8.2,279.6,-3.73333333333333,660.4
1926,"Herbst(SON)",9.76666666666667,305.2,0.6,629.1
1926,"Sommer(JJA)",15.6,301.8,4.5,429.1
1926,"Winter(DJF)",0.8,137.9,-7.36666666666667,560.1
1927,"Fruehling(MAM)",9.03333333333333,287.8,-3.2,609.5
1927,"Herbst(SON)",8.36666666666667,198.9,-0.166666666666667,502
1927,"Sommer(JJA)",16.4666666666667,497.7,5.43333333333333,589.2
1927,"Winter(DJF)",-0.533333333333333,163.1,-8.76666666666667,500.7
1928,"Fruehling(MAM)",7.7,250.4,-4.66666666666667,645
1928,"Herbst(SON)",8.86666666666667,318.6,-0.666666666666667,805.4
1928,"Sommer(JJA)",18.4333333333333,286.8,7.93333333333333,195.5
1928,"Winter(DJF)",1.16666666666667,172,-8.36666666666667,493.1
1929,"Fruehling(MAM)",7.46666666666667,161.1,-3.53333333333333,290.6
1929,"Herbst(SON)",9.83333333333333,212.2,0.133333333333333,327.3
1929,"Sommer(JJA)",17.4333333333333,272.1,6.36666666666667,515.6
1929,"Winter(DJF)",-2.96666666666667,159.1,-10.4666666666667,415.1
1930,"Fruehling(MAM)",8.33333333333333,348.3,-3.76666666666667,830.7
1930,"Herbst(SON)",9.7,363.1,0.166666666666667,844.6
1930,"Sommer(JJA)",17.1,473.3,6.1,426.9
1930,"Winter(DJF)",1.1,106.8,-8.13333333333333,404
1931,"Fruehling(MAM)",7.8,289.1,-3.46666666666667,548.9
1931,"Herbst(SON)",7.4,164.5,-1.23333333333333,448.1
1931,"Sommer(JJA)",16.5666666666667,505.9,6.26666666666667,431.9
1931,"Winter(DJF)",-0.5,178.1,-9.96666666666667,524.9
1932,"Fruehling(MAM)",6.76666666666667,324.2,-5.5,851.2
1932,"Herbst(SON)",9.8,190,0.466666666666667,433.2
1932,"Sommer(JJA)",16.7333333333333,395.1,5.36666666666667,466.1
1932,"Winter(DJF)",-1.03333333333333,47.9,-7.56666666666667,312.8
1933,"Fruehling(MAM)",8.3,227.3,-3.4,631.1
1933,"Herbst(SON)",8.73333333333333,248.8,-1.46666666666667,725
1933,"Sommer(JJA)",16.8333333333333,290.2,5.9,398.6
